사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2020061500100117,2020년 6월 15일 08시,월요일,경상남도 밀양시 삼랑진읍,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,53세,상해없음,승합,남,55세,기타불명
2020061500100272,2020년 6월 15일 12시,월요일,경상남도 밀양시 산내면,중상사고,0,1,0,0,차대사람 - 보도통행중,안전운전불이행,건조,맑음,단일로 - 기타,건설기계,남,47세,상해없음,보행자,남,87세,중상
2020061600100426,2020년 6월 16일 16시,화요일,경상남도 밀양시 내일동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,64세,상해없음,승용,남,71세,부상신고
2020061600100472,2020년 6월 16일 17시,화요일,경상남도 밀양시 삼문동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로부근,승용,여,36세,상해없음,자전거,남,11세,중상
2020061700100131,2020년 6월 17일 08시,수요일,경상남도 밀양시 하남읍,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,42세,상해없음,보행자,여,17세,경상
2020061700100370,2020년 6월 17일 15시,수요일,경상남도 밀양시 하남읍,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,77세,상해없음,보행자,남,78세,중상
2020061800100408,2020년 6월 18일 16시,목요일,경상남도 밀양시 산외면,사망사고,1,0,0,0,차량단독 - 공작물충돌,안전운전불이행,젖음/습기,비,단일로 - 기타,원동기,남,43세,사망,,,,
2020061900100047,2020년 6월 19일 05시,금요일,경상남도 밀양시 하남읍,경상사고,0,0,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,화물,남,60세,상해없음,승용,남,47세,경상
2020061900100156,2020년 6월 19일 09시,금요일,경상남도 밀양시 삼랑진읍,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,26세,상해없음,보행자,여,77세,중상
2020061900100508,2020년 6월 19일 17시,금요일,경상남도 밀양시 내이동,경상사고,0,0,1,0,차대사람 - 기타,기타,건조,맑음,단일로 - 기타,자전거,남,63세,기타불명,보행자,여,47세,경상
2020061900100745,2020년 6월 19일 23시,금요일,경상남도 밀양시 삼문동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,흐림,교차로 - 교차로안,원동기,남,45세,상해없음,원동기,남,48세,경상
2020062000100216,2020년 6월 20일 11시,토요일,경상남도 밀양시 부북면,중상사고,0,1,0,1,차대차 - 측면충돌,중앙선침범,건조,맑음,교차로 - 교차로안,승용,남,60세,상해없음,원동기,남,78세,중상
2020062000100275,2020년 6월 20일 12시,토요일,경상남도 밀양시 삼랑진읍,경상사고,0,0,3,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,원동기,남,62세,경상,화물,남,71세,경상
2020062100100150,2020년 6월 21일 10시,일요일,경상남도 밀양시 무안면,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,이륜,여,62세,부상신고,승용,남,58세,상해없음
2020062100100206,2020년 6월 21일 12시,일요일,경상남도 밀양시 삼랑진읍,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,72세,상해없음,승용,여,40세,경상
2020062100100256,2020년 6월 21일 14시,일요일,경상남도 밀양시 무안면,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,화물,남,61세,상해없음,승용,여,65세,경상
2020062200100085,2020년 6월 22일 07시,월요일,경상남도 밀양시 상남면,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,28세,상해없음,승용,남,31세,경상
2020062300100046,2020년 6월 23일 05시,화요일,경상남도 밀양시 하남읍,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,61세,중상,화물,남,47세,기타불명
2020062300100088,2020년 6월 23일 07시,화요일,경상남도 밀양시 하남읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,54세,상해없음,화물,남,71세,경상
2020062300100136,2020년 6월 23일 08시,화요일,경상남도 밀양시 내이동,경상사고,0,0,1,2,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,42세,상해없음,승용,남,65세,경상
2020062300100647,2020년 6월 23일 21시,화요일,경상남도 밀양시 산외면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,흐림,교차로 - 교차로안,승용,남,63세,상해없음,승용,남,42세,경상
2020062400100531,2020년 6월 24일 19시,수요일,경상남도 밀양시 삼문동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,45세,상해없음,승용,남,27세,경상
2020062400100532,2020년 6월 24일 19시,수요일,경상남도 밀양시 삼문동,중상사고,0,2,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,68세,상해없음,승용,남,55세,중상
2020062400100661,2020년 6월 24일 22시,수요일,경상남도 밀양시 삼문동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,젖음/습기,비,교차로 - 교차로안,승용,여,26세,상해없음,승용,남,42세,중상
2020062500100351,2020년 6월 25일 15시,목요일,경상남도 밀양시 가곡동,중상사고,0,1,0,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,76세,상해없음,자전거,여,50세,중상
2020062500100593,2020년 6월 25일 22시,목요일,경상남도 밀양시 가곡동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,건조,흐림,단일로 - 기타,승용,남,36세,상해없음,승용,남,46세,부상신고
2020062700100060,2020년 6월 27일 03시,토요일,경상남도 밀양시 산외면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,47세,상해없음,특수,남,57세,중상
2020062800100197,2020년 6월 28일 12시,일요일,경상남도 밀양시 내이동,중상사고,0,2,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,82세,상해없음,이륜,남,42세,중상
2020062900100151,2020년 6월 29일 10시,월요일,경상남도 밀양시 삼랑진읍,중상사고,0,1,1,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,화물,남,54세,상해없음,승용,여,60세,중상
2020063000100441,2020년 6월 30일 18시,화요일,경상남도 밀양시 내이동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,52세,상해없음,원동기,여,47세,경상
2020063000100503,2020년 6월 30일 20시,화요일,경상남도 밀양시 하남읍,경상사고,0,0,6,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,39세,상해없음,승합,여,35세,경상
2020070100100086,2020년 7월 1일 07시,수요일,경상남도 밀양시 삼랑진읍,사망사고,1,0,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,교차로 - 교차로부근,건설기계,남,34세,상해없음,보행자,남,73세,사망
2020070100100113,2020년 7월 1일 08시,수요일,경상남도 밀양시 삼문동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,61세,상해없음,승용,여,55세,경상
2020070200100076,2020년 7월 2일 07시,목요일,경상남도 밀양시 상남면,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,화물,여,60세,상해없음,승용,여,25세,경상
2020070300100253,2020년 7월 3일 12시,금요일,경상남도 밀양시 하남읍,경상사고,0,0,3,0,차대차 - 측면충돌,교차로운행방법위반,젖음/습기,비,교차로 - 교차로안,화물,남,48세,경상,승용,여,57세,경상
2020070300100354,2020년 7월 3일 15시,금요일,경상남도 밀양시 산외면,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,54세,상해없음,보행자,여,73세,중상
2020070400100559,2020년 7월 4일 20시,토요일,경상남도 밀양시 내이동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,흐림,단일로 - 기타,승용,여,33세,상해없음,승용,남,55세,경상
2020070500100260,2020년 7월 5일 15시,일요일,경상남도 밀양시 상동면,경상사고,0,0,4,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,63세,경상,승용,남,43세,경상
2020070600100414,2020년 7월 6일 17시,월요일,경상남도 밀양시 무안면,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,57세,상해없음,화물,남,59세,경상
2020071100100421,2020년 7월 11일 16시,토요일,경상남도 밀양시 삼문동,경상사고,0,0,1,0,차대차 - 후진중충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,70세,상해없음,승용,남,34세,경상
2020071200100348,2020년 7월 12일 18시,일요일,경상남도 밀양시 가곡동,경상사고,0,0,2,0,차대차 - 측면충돌,교차로운행방법위반,젖음/습기,비,교차로 - 교차로안,화물,남,65세,상해없음,승용,남,56세,경상
2020071200100522,2020년 7월 12일 23시,일요일,경상남도 밀양시 교동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,젖음/습기,비,교차로 - 교차로안,승용,여,48세,상해없음,승용,남,41세,경상
2020071300100477,2020년 7월 13일 19시,월요일,경상남도 밀양시 삼문동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,젖음/습기,흐림,단일로 - 기타,승용,남,66세,상해없음,승용,남,19세,경상
2020071400100140,2020년 7월 14일 08시,화요일,경상남도 밀양시 내일동,중상사고,0,1,0,0,차량단독 - 기타,안전운전불이행,젖음/습기,비,단일로 - 기타,승합,남,44세,상해없음,,,,
2020071400100447,2020년 7월 14일 17시,화요일,경상남도 밀양시 상남면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,27세,상해없음,승용,여,34세,경상
2020071500100384,2020년 7월 15일 16시,수요일,경상남도 밀양시 산내면,중상사고,0,1,0,0,차대차 - 측면충돌,교차로운행방법위반,젖음/습기,흐림,교차로 - 교차로부근,화물,남,54세,상해없음,원동기,남,52세,중상
2020071600100004,2020년 7월 16일 00시,목요일,경상남도 밀양시 상남면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,젖음/습기,맑음,단일로 - 기타,화물,남,35세,상해없음,화물,남,62세,경상
2020071600100316,2020년 7월 16일 14시,목요일,경상남도 밀양시 상남면,중상사고,0,1,1,0,차대차 - 추돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,남,40세,상해없음,승용,남,26세,경상
2020071600100466,2020년 7월 16일 17시,목요일,경상남도 밀양시 부북면,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,53세,상해없음,이륜,남,70세,중상
2020071700100044,2020년 7월 17일 05시,금요일,경상남도 밀양시 내이동,경상사고,0,0,1,2,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,41세,부상신고,승용,남,39세,상해없음
2020071700100143,2020년 7월 17일 09시,금요일,경상남도 밀양시 상남면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,45세,상해없음,이륜,남,61세,경상
2020071800100111,2020년 7월 18일 08시,토요일,경상남도 밀양시 무안면,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,78세,상해없음,보행자,여,81세,중상
2020071800100501,2020년 7월 18일 19시,토요일,경상남도 밀양시 단장면,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,남,24세,상해없음,승용,남,31세,경상
2020071900100322,2020년 7월 19일 18시,일요일,경상남도 밀양시 부북면,중상사고,0,1,0,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,34세,상해없음,보행자,여,79세,중상
2020072100100217,2020년 7월 21일 11시,화요일,경상남도 밀양시 상남면,경상사고,0,0,3,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,71세,경상,화물,남,60세,경상
2020072100100591,2020년 7월 21일 22시,화요일,경상남도 밀양시 상동면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,특수,남,61세,상해없음,화물,남,62세,중상
2020072300100354,2020년 7월 23일 16시,목요일,경상남도 밀양시 삼문동,경상사고,0,0,1,0,차대사람 - 보도통행중,신호위반,건조,맑음,단일로 - 기타,승용,여,49세,상해없음,보행자,여,41세,경상
2020072400100385,2020년 7월 24일 17시,금요일,경상남도 밀양시 삼랑진읍,경상사고,0,0,4,0,차대차 - 측면충돌,안전운전불이행,젖음/습기,비,단일로 - 기타,화물,남,69세,경상,승용,남,23세,경상
2020072400100440,2020년 7월 24일 18시,금요일,경상남도 밀양시 교동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,젖음/습기,비,교차로 - 교차로안,승용,남,71세,상해없음,이륜,여,27세,경상
2020072500100015,2020년 7월 25일 00시,토요일,경상남도 밀양시 내이동,중상사고,0,1,3,0,차대차 - 측면충돌,중앙선침범,젖음/습기,비,교차로 - 교차로안,승용,남,31세,상해없음,승용,남,28세,중상
2020072600100124,2020년 7월 26일 10시,일요일,경상남도 밀양시 부북면,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,73세,상해없음,이륜,남,36세,경상
2020072700100179,2020년 7월 27일 10시,월요일,경상남도 밀양시 상동면,중상사고,0,1,0,0,차대차 - 정면충돌,교차로운행방법위반,젖음/습기,비,교차로 - 교차로안,승용,여,50세,상해없음,승용,남,29세,중상
2020072700100441,2020년 7월 27일 17시,월요일,경상남도 밀양시 삼문동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,젖음/습기,비,교차로 - 교차로부근,화물,남,31세,상해없음,이륜,남,57세,경상
2020073100100380,2020년 7월 31일 16시,금요일,경상남도 밀양시 내일동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,53세,상해없음,승용,여,71세,경상
2020080100100125,2020년 8월 1일 09시,토요일,경상남도 밀양시 내이동,경상사고,0,0,1,0,차대차 - 측면충돌,기타,건조,맑음,교차로 - 교차로안,승용,남,54세,상해없음,승용,남,28세,경상
2020080100100153,2020년 8월 1일 10시,토요일,경상남도 밀양시 삼랑진읍,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,58세,중상,화물,남,25세,상해없음
2020080200100115,2020년 8월 2일 11시,일요일,경상남도 밀양시 삼문동,부상신고사고,0,0,0,1,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,34세,상해없음,보행자,남,61세,부상신고
2020080400100118,2020년 8월 4일 09시,화요일,경상남도 밀양시 무안면,중상사고,0,1,0,0,차량단독 - 전도전복 - 전도,안전운전불이행,건조,맑음,단일로 - 기타,자전거,여,19세,중상,,,,
2020080400100585,2020년 8월 4일 23시,화요일,경상남도 밀양시 내이동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,29세,상해없음,승용,여,34세,경상
2020080500100064,2020년 8월 5일 07시,수요일,경상남도 밀양시 가곡동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,젖음/습기,비,교차로 - 교차로횡단보도내,승합,남,63세,상해없음,보행자,여,72세,중상
2020080500100138,2020년 8월 5일 10시,수요일,경상남도 밀양시 단장면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,55세,상해없음,승용,여,55세,경상
2020080700100457,2020년 8월 7일 18시,금요일,경상남도 밀양시 산외면,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,젖음/습기,비,교차로 - 교차로안,승합,남,40세,상해없음,승용,여,49세,경상
2020080800100084,2020년 8월 8일 06시,토요일,경상남도 밀양시 용평동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,젖음/습기,비,교차로 - 교차로부근,이륜,남,79세,중상,화물,남,42세,상해없음
2020080800100196,2020년 8월 8일 11시,토요일,경상남도 밀양시 상남면,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,젖음/습기,비,교차로 - 교차로부근,승용,여,25세,상해없음,승용,여,35세,경상
2020080800100197,2020년 8월 8일 11시,토요일,경상남도 밀양시 삼랑진읍,경상사고,0,0,3,0,차대차 - 측면충돌,중앙선침범,젖음/습기,비,단일로 - 기타,승용,남,73세,상해없음,승용,여,55세,경상
2020080900100186,2020년 8월 9일 13시,일요일,경상남도 밀양시 내이동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,주차장 - 주차장,승용,남,58세,상해없음,보행자,여,31세,경상
2020080900100267,2020년 8월 9일 16시,일요일,경상남도 밀양시 삼랑진읍,경상사고,0,0,2,0,차대차 - 측면충돌,중앙선침범,젖음/습기,흐림,단일로 - 기타,승용,남,67세,상해없음,승용,남,61세,경상
2020081000100557,2020년 8월 10일 22시,월요일,경상남도 밀양시 내이동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,이륜,남,46세,상해없음,승용,남,60세,경상
2020081100100401,2020년 8월 11일 16시,화요일,경상남도 밀양시 상남면,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,68세,상해없음,승용,남,25세,경상
2020081200100248,2020년 8월 12일 12시,수요일,경상남도 밀양시 부북면,중상사고,0,1,0,0,차대사람 - 횡단중,안전운전불이행,젖음/습기,비,단일로 - 기타,승용,남,69세,상해없음,보행자,여,71세,중상
2020081200100283,2020년 8월 12일 13시,수요일,경상남도 밀양시 삼문동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,젖음/습기,비,교차로 - 교차로부근,승용,여,42세,상해없음,승용,여,32세,경상
2020081200100317,2020년 8월 12일 14시,수요일,경상남도 밀양시 내이동,경상사고,0,0,3,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,78세,상해없음,승용,남,59세,경상
2020081300100229,2020년 8월 13일 12시,목요일,경상남도 밀양시 하남읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,78세,상해없음,원동기,남,86세,경상
2020081400100227,2020년 8월 14일 11시,금요일,경상남도 밀양시 삼문동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,26세,상해없음,보행자,여,87세,사망
2020081400100352,2020년 8월 14일 14시,금요일,경상남도 밀양시 삼문동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,46세,상해없음,이륜,남,48세,경상
2020081400100645,2020년 8월 14일 21시,금요일,경상남도 밀양시 삼랑진읍,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,60세,상해없음,보행자,여,59세,중상
2020081500100467,2020년 8월 15일 19시,토요일,경상남도 밀양시 교동,경상사고,0,0,4,0,차대차 - 측면충돌,안전운전불이행,건조,흐림,단일로 - 기타,화물,남,36세,상해없음,승용,여,39세,경상
2020081600100012,2020년 8월 16일 00시,일요일,경상남도 밀양시 내이동,부상신고사고,0,0,0,1,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,49세,상해없음,보행자,남,46세,부상신고
2020081600100126,2020년 8월 16일 09시,일요일,경상남도 밀양시 단장면,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,61세,상해없음,보행자,남,48세,경상
2020081600100160,2020년 8월 16일 11시,일요일,경상남도 밀양시 상남면,경상사고,0,0,3,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,59세,상해없음,승용,여,32세,경상
2020081700100060,2020년 8월 17일 07시,월요일,경상남도 밀양시 상남면,경상사고,0,0,6,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,57세,경상,승용,남,36세,상해없음
2020081700100075,2020년 8월 17일 08시,월요일,경상남도 밀양시 부북면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,건설기계,남,61세,경상,건설기계,남,53세,경상
2020081700100402,2020년 8월 17일 17시,월요일,경상남도 밀양시 부북면,경상사고,0,0,2,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,화물,남,74세,상해없음,승용,남,72세,경상
2020081800100259,2020년 8월 18일 12시,화요일,경상남도 밀양시 교동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,39세,상해없음,승용,남,70세,상해없음
2020081800100669,2020년 8월 18일 22시,화요일,경상남도 밀양시 삼문동,경상사고,0,0,3,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,55세,경상,원동기,남,17세,경상
2020081900100208,2020년 8월 19일 11시,수요일,경상남도 밀양시 내이동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,23세,상해없음,승용,여,33세,경상
2020081900100664,2020년 8월 19일 23시,수요일,경상남도 밀양시 상남면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,70세,상해없음,화물,여,46세,중상
2020082000100077,2020년 8월 20일 07시,목요일,경상남도 밀양시 내이동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,50세,상해없음,승용,남,22세,경상
2020082000100377,2020년 8월 20일 15시,목요일,경상남도 밀양시 삼문동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,24세,상해없음,승용,남,68세,경상
2020082100100598,2020년 8월 21일 22시,금요일,경상남도 밀양시 삼문동,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,건조,흐림,단일로 - 기타,승용,남,41세,상해없음,승용,남,37세,경상
2020082200100240,2020년 8월 22일 12시,토요일,경상남도 밀양시 상남면,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,화물,남,71세,상해없음,자전거,남,67세,중상
2020082200100553,2020년 8월 22일 20시,토요일,경상남도 밀양시 내일동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,38세,상해없음,승용,남,50세,경상
2020082300100281,2020년 8월 23일 16시,일요일,경상남도 밀양시 삼랑진읍,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,이륜,남,55세,상해없음,승용,여,30세,상해없음
2020082300100282,2020년 8월 23일 16시,일요일,경상남도 밀양시 삼문동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로안,승용,여,48세,상해없음,보행자,여,84세,중상
2020082400100018,2020년 8월 24일 01시,월요일,경상남도 밀양시 단장면,경상사고,0,0,1,0,차량단독 - 공작물충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,25세,기타불명,,,,
2020082400100156,2020년 8월 24일 09시,월요일,경상남도 밀양시 삼문동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,여,60세,상해없음,보행자,여,88세,경상
2020082500100270,2020년 8월 25일 12시,화요일,경상남도 밀양시 산외면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,22세,상해없음,화물,남,66세,상해없음
2020082600100130,2020년 8월 26일 09시,수요일,경상남도 밀양시 부북면,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,76세,상해없음,승용,남,51세,경상
2020082800100196,2020년 8월 28일 11시,금요일,경상남도 밀양시 내이동,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,건조,맑음,단일로 - 기타,승용,여,47세,상해없음,이륜,여,28세,경상
2020082800100197,2020년 8월 28일 11시,금요일,경상남도 밀양시 내일동,중상사고,0,1,0,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,71세,상해없음,이륜,남,71세,중상
2020082800100264,2020년 8월 28일 13시,금요일,경상남도 밀양시 초동면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,26세,상해없음,농기계,남,65세,중상
2020082800100526,2020년 8월 28일 19시,금요일,경상남도 밀양시 상남면,중상사고,0,1,0,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,화물,남,69세,상해없음,승용,여,54세,중상
2020082900100088,2020년 8월 29일 06시,토요일,경상남도 밀양시 상남면,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,화물,남,62세,상해없음,이륜,여,60세,경상
2020083100100157,2020년 8월 31일 10시,월요일,경상남도 밀양시 교동,경상사고,0,0,2,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,화물,남,57세,경상,승용,남,41세,경상
2020090100100229,2020년 9월 1일 13시,화요일,경상남도 밀양시 무안면,중상사고,0,1,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,66세,중상,승용,남,52세,경상
2020090100100491,2020년 9월 1일 20시,화요일,경상남도 밀양시 삼문동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,화물,남,52세,상해없음,승용,남,25세,경상
2020090200100405,2020년 9월 2일 19시,수요일,경상남도 밀양시 내이동,중상사고,0,1,0,0,차대사람 - 횡단중,중앙선침범,젖음/습기,비,단일로 - 기타,화물,여,59세,상해없음,보행자,남,61세,중상
2020090200100457,2020년 9월 2일 20시,수요일,경상남도 밀양시 삼문동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,젖음/습기,비,교차로 - 교차로횡단보도내,승용,남,60세,상해없음,보행자,남,30세,중상
2020090200100476,2020년 9월 2일 21시,수요일,경상남도 밀양시 상남면,경상사고,0,0,3,0,차대차 - 추돌,안전운전불이행,서리/결빙,비,단일로 - 기타,승용,남,45세,상해없음,승용,남,36세,경상
2020090300100347,2020년 9월 3일 17시,목요일,경상남도 밀양시 내이동,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,89세,중상,승용,남,64세,상해없음
2020090300100460,2020년 9월 3일 20시,목요일,경상남도 밀양시 내이동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,60세,상해없음,승용,남,56세,경상
2020090400100131,2020년 9월 4일 09시,금요일,경상남도 밀양시 내일동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,64세,상해없음,보행자,여,73세,경상
