사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2020030600100280,2020년 3월 6일 14시,금요일,경상남도 밀양시 삼문동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,73세,상해없음,자전거,여,65세,경상
2020030800100122,2020년 3월 8일 11시,일요일,경상남도 밀양시 단장면,중상사고,0,1,0,0,차대차 - 추돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,44세,상해없음,자전거,남,38세,중상
2020031100100320,2020년 3월 11일 16시,수요일,경상남도 밀양시 삼문동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,20세,상해없음,이륜,남,53세,중상
2020031200100495,2020년 3월 12일 20시,목요일,경상남도 밀양시 내이동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,46세,상해없음,이륜,남,39세,경상
2020031400100134,2020년 3월 14일 09시,토요일,경상남도 밀양시 단장면,중상사고,0,1,0,1,차대차 - 측면충돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,65세,상해없음,이륜,남,55세,중상
2020031400100189,2020년 3월 14일 11시,토요일,경상남도 밀양시 교동,중상사고,0,1,0,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,54세,상해없음,승합,남,46세,중상
2020031400100354,2020년 3월 14일 16시,토요일,경상남도 밀양시 삼랑진읍,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,52세,상해없음,승용,남,52세,경상
2020031400100494,2020년 3월 14일 21시,토요일,경상남도 밀양시 내이동,경상사고,0,0,2,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,51세,상해없음,승용,여,38세,경상
2020031500100103,2020년 3월 15일 10시,일요일,경상남도 밀양시 상남면,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,50세,상해없음,승용,여,25세,경상
2020031600100026,2020년 3월 16일 05시,월요일,경상남도 밀양시 내이동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,54세,상해없음,이륜,남,57세,경상
