Scenario,Overlap,Overlap (%),Top-10
-30%,10,100,"내이동, 삼문동, 상남면, 삼랑진읍, 하남읍, 가곡동, 산외면, 부북면, 단장면, 무안면"
-20%,10,100,"내이동, 삼문동, 상남면, 삼랑진읍, 하남읍, 가곡동, 부북면, 산외면, 무안면, 단장면"
-10%,10,100,"삼문동, 내이동, 상남면, 삼랑진읍, 하남읍, 가곡동, 산외면, 부북면, 단장면, 무안면"
Base (0%),10,100,"삼문동, 내이동, 상남면, 삼랑진읍, 하남읍, 가곡동, 산외면, 부북면, 단장면, 무안면"
+10%,10,100,"삼문동, 내이동, 상남면, 삼랑진읍, 하남읍, 가곡동, 산외면, 부북면, 단장면, 무안면"
+20%,10,100,"삼문동, 내이동, 상남면, 삼랑진읍, 하남읍, 가곡동, 산외면, 부북면, 단장면, 무안면"
+30%,10,100,"삼문동, 내이동, 상남면, 삼랑진읍, 하남읍, 가곡동, 산외면, 부북면, 단장면, 무안면"
