Weight Scenario,Threshold (TRI),High-risk N,ROC-AUC,F1-Score,Accuracy,CV AUC (mean),CV AUC (std)
-30%,35.69,227,0.9066,0.8539,0.8556,0.9313,0.0124
-20%,37.36,228,0.9469,0.8696,0.8667,0.9345,0.0099
-10%,38.47,224,0.9635,0.8837,0.8889,0.9609,0.0215
Base (0%),40.7,224,0.9635,0.8837,0.8889,0.9609,0.0215
+10%,42.37,224,0.9635,0.8837,0.8889,0.9609,0.0215
+20%,44.0,224,0.9635,0.8837,0.8889,0.9609,0.0215
+30%,45.5,224,0.9635,0.8837,0.8889,0.9609,0.0215
