Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV AUC (mean),CV AUC (std),Time (s)
Logistic Reg.,0.8889,0.95,0.8261,0.8837,0.9733,0.9498,0.0168,2.6
XGBoost,0.8889,0.9091,0.8696,0.8889,0.9713,0.9453,0.0191,0.05
CatBoost,0.9,0.9512,0.8478,0.8966,0.9704,0.9476,0.0184,0.2
LightGBM (Ours),0.9,0.9512,0.8478,0.8966,0.9689,0.9452,0.0196,0.02
Random Forest,0.8889,0.95,0.8261,0.8837,0.9649,0.9492,0.0183,0.16
MLP,0.8333,0.8298,0.8478,0.8387,0.913,0.9208,0.025,0.7
