Scenario,Spearman r,Mean TRI,Std TRI
-30%,0.9961,49.01,41.39
-20%,0.9981,51.52,43.32
-10%,0.9998,54.02,45.26
Base (0%),1.0,56.52,47.21
+10%,0.9996,59.02,49.17
+20%,0.9992,61.52,51.14
+30%,0.999,64.02,53.12
